2022-02-09 15:51:27,647 DEBUG      server.py              Сервер с адресом  и портом 7777 запущен.
2022-02-09 15:52:33,011 DEBUG      server.py              Сервер с адресом  и портом 7777 запущен.
2022-02-09 15:52:33,088 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50521)
2022-02-09 15:52:33,184 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50522)
2022-02-09 15:52:33,200 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403953.0882165, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:33,200 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403953.0882165, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:33,200 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403953.0882165, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50521)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:33,215 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50523)
2022-02-09 15:52:33,215 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403953.1845975, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:33,215 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403953.1845975, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:33,215 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403953.1845975, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50522)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:33,372 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50524)
2022-02-09 15:52:33,372 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403953.2158475, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:33,372 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403953.2158475, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:33,372 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403953.2158475, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50523)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:33,372 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50525)
2022-02-09 15:52:33,372 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403953.372111, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:33,372 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403953.372111, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:33,372 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403953.372111, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=384, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50524)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:33,387 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50526)
2022-02-09 15:52:33,387 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403953.372111, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:33,387 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403953.372111, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:33,387 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403953.372111, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=344, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50525)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:33,387 INFO       server.py              Установлено соединение с клиентом ('127.0.0.1', 50527)
2022-02-09 15:52:33,387 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403953.3877223, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:33,387 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403953.3877223, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:33,387 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403953.3877223, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50526)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:33,900 DEBUG      server.py              Сообщение от клиента {'action': 'presence', 'time': 1644403953.3877223, 'user': {'account_name': 'ME'}}
2022-02-09 15:52:33,900 DEBUG      server.py              Сообщение {'action': 'presence', 'time': 1644403953.3877223, 'user': {'account_name': 'ME'}} от клиента успешно разобрано.
2022-02-09 15:52:33,900 DEBUG      my_decorators.py       Вызвана функция process_client_message с аргументами (({'action': 'presence', 'time': 1644403953.3877223, 'user': {'account_name': 'ME'}}, [], <socket.socket fd=440, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50527)>), {}).Вызов произведён из функции main()
2022-02-09 15:52:38,964 INFO       server.py              Клиент ('127.0.0.1', 50527) отключился от сервера.
2022-02-09 15:52:39,971 INFO       server.py              Клиент ('127.0.0.1', 50526) отключился от сервера.
2022-02-09 15:52:42,010 INFO       server.py              Клиент ('127.0.0.1', 50525) отключился от сервера.
2022-02-09 15:52:43,018 INFO       server.py              Клиент ('127.0.0.1', 50524) отключился от сервера.
